3.31	5.133333	2.1
2.46	5.233333	1.9
2.48	5.533333	1.7
2.25	6.266667	1.4
2.39	6.8	1.3
2.33	7	1.2
2.28	6.766667	1.3
2.6	6.2	1.2
2.72	5.633333	1.4
2.73	5.533333	1.4
2.78	5.566667	1.3
2.87	5.533333	1.3
2.89	5.766667	1.2
2.99	5.733333	1.2
3.38	5.5	1.3
3.52	5.566667	1.6
3.54	5.466667	1.7
3.48	5.2	1.6
3.53	5	1.5
3.84	4.966667	1.3
3.93	4.9	1.2
3.8	4.666667	1.2
3.92	4.366667	1.3
4.38	4.1	1.3
4.59	3.866667	1.5
4.5	3.833333	2
5.37	3.766667	2.5
4.96	3.7	3
4.26	3.833333	3.1
3.54	3.833333	2.9
4.42	3.8	3
4.97	3.9	3.2
5.17	3.733333	3.8
5.52	3.566667	4.3
5.19	3.533333	4.5
5.96	3.4	4.7
6.02	3.4	4.6
6.44	3.433333	4.7
7.09	3.566667	4.7
7.82	3.566667	4.7
6.63	4.166667	4.7
6.68	4.766667	4.6
6.12	5.166667	4.6
4.87	5.833333	4.8
3.38	5.933333	5
4.75	5.9	5
4.69	6.033333	4.8
4.01	5.933333	4
3.73	5.766667	3.7
3.91	5.7	3.2
4.66	5.566667	3
5.07	5.366667	3.1
6.09	4.933333	2.8
7.19	4.933333	3.5
8.29	4.8	4.1
7.45	4.766667	4.9
7.96	5.133333	5.9
7.9	5.2	7.1
8.06	5.633333	8.7
7.15	6.6	9.8
5.49	8.266667	10.1
5.34	8.866667	9.1
6.42	8.466667	7.6
5.44	8.3	6.8
5	7.733333	6.3
5.41	7.566667	6
5.08	7.733333	6
4.35	7.766667	6
4.6	7.5	6.2
5.02	7.133333	6.5
5.81	6.9	6.6
6.07	6.666667	6.5
6.29	6.333333	6.4
6.73	6	6.6
7.85	6.033333	6.6
9.08	5.9	7
9.48	5.866667	6.8
9.06	5.7	7.3
10.26	5.866667	7.4
12.04	5.966667	7.7
15.2	6.3	8.9
7.07	7.333333	8.9
10.27	7.666667	9.3
15.49	7.4	9.7
13.36	7.433333	9.4
14.73	7.4	9.1
14.7	7.4	8.7
10.85	8.233333	8
12.68	8.833333	7.2
12.47	9.433333	6.6
7.92	9.9	6.3
7.94	10.666667	5.9
8.35	10.366667	5.8
8.79	10.133333	5.2
9	9.366667	5.1
9	8.533333	4.5
9.52	7.866667	4.2
9.87	7.433333	4.6
10.37	7.433333	4
8.06	7.3	3.9
8.52	7.233333	4.3
6.95	7.3	3.9
7.1	7.2	4
7.1	7.033333	4
6.56	7.033333	3.7
6.21	7.166667	3.6
5.21	6.966667	3.2
5.53	6.833333	3.3
5.59	6.6	2.8
5.67	6.266667	3.1
6.4	6	3.3
5.77	5.833333	3.6
5.7	5.7	3.9
6.46	5.466667	4.2
7.24	5.466667	4.4
8.07	5.333333	4.5
8.82	5.2	4.7
8.15	5.233333	4.3
7.75	5.233333	3.9
7.63	5.366667	3.7
7.9	5.3	3.8
7.73	5.333333	4
7.36	5.7	4.3
6.74	6.133333	4.2
5.91	6.6	3.9
5.57	6.833333	3.6
5.22	6.866667	3.4
4.07	7.1	3.4
4.04	7.366667	3.3
3.66	7.6	3.2
2.91	7.633333	2.9
3.22	7.366667	2.8
2.95	7.133333	2.7
3.07	7.066667	2.8
2.95	6.8	2.8
3.06	6.633333	2.5
3.5	6.566667	2.3
4.14	6.2	2.2
4.62	6	2.2
5.6	5.633333	2.2
5.73	5.466667	2.3
5.47	5.666667	2.2
5.28	5.666667	2.1
5.14	5.566667	2.1
4.96	5.533333	2
5.09	5.5	1.9
5.09	5.266667	1.8
4.91	5.333333	1.9
5.14	5.233333	1.9
4.93	5	2
4.95	4.866667	1.7
5.16	4.666667	1.5
5.03	4.633333	1.4
4.98	4.4	1.2
4.61	4.533333	1.3
4.39	4.433333	1.3
4.44	4.3	1.3
4.57	4.266667	1.3
4.68	4.233333	1.3
5.2	4.066667	1.5
5.69	4.033333	1.7
5.69	3.933333	1.7
6	4	1.8
5.77	3.9	1.8
4.42	4.233333	1.8
